"company","product_code","product_category","product_number","full_address","name","company_philips"
"philips","p","Smartphone","5","Groningensingel 147,arnhem,the netherlands","dhr p. jansen",1
"philips","p","Smartphone","43","Groningensingel 148,arnhem,the netherlands","dhr p. hansen",1
"philips","x","Laptop","3","Groningensingel 149,arnhem,the netherlands","dhr j. Gansen",1
"philips","x","Laptop","34","Groningensingel 150,arnhem,the netherlands","dhr p. mansen",1
"philips","x","Laptop","12","Groningensingel 151,arnhem,the netherlands","dhr p. fransen",1
"philips","p","Smartphone","23","Groningensingel 152,arnhem,the netherlands","dhr p. franssen",1
"akzo","v","Television","43","Leeuwardenweg 178,arnhem,the netherlands","dhr p. bansen",0
"akzo","v","Television","12","Leeuwardenweg 179,arnhem,the netherlands","dhr p. vansen",0
"akzo","x","Laptop","5","Leeuwardenweg 180,arnhem,the netherlands","dhr p. bransen",0
"akzo","p","Smartphone","34","Leeuwardenweg 181,arnhem,the netherlands","dhr p. janssen",0
"akzo","q","Tablet","5","Leeuwardenweg 182,arnhem,the netherlands","mevr l.  rokken",0
"akzo","q","Tablet","9","Leeuwardenweg 183,arnhem,the netherlands","mevr l.  lokken",0
"akzo","x","Laptop","8","Leeuwardenweg 184,arnhem,the netherlands","mevr l.  mokken",0
"philips","p","Smartphone","56","Delfzijlstraat 54,arnhem,the netherlands","mevr l.  mokken",1
"philips","v","Television","67","Delfzijlstraat 55,arnhem,the netherlands","mevr l.  mokken",1
"philips","v","Television","21","Delfzijlstraat 56,arnhem,the netherlands","mevr l.  mokken",1
"van houten","x","Laptop","45","Delfzijlstraat 57,arnhem,the netherlands","mevr l.  sokken",0
"van houten","v","Television","56","Delfzijlstraat 58,arnhem,the netherlands","mevr l.  wokken",0
"van houten","v","Television","65","Delfzijlstraat 59,arnhem,the netherlands","mevr l.  kokken",0
"van houten","x","Laptop","21","Delfzijlstraat 60,arnhem,the netherlands","mevr l.  Bokken",0
"van houten","p","Smartphone","23","Delfzijlstraat 61,arnhem,the netherlands","mevr l.  dokken",0
"unilever","x","Laptop","3","Jourestraat 23,arnhem,the netherlands","mevr l.  gokken",0
"unilever","q","Tablet","4","Jourestraat 24,arnhem,the netherlands","mevr l.  stokken",0
"unilever","q","Tablet","6","Jourestraat 25,arnhem,the netherlands","mevr l.  rokken",0
"unilever","q","Tablet","8","Jourestraat 26,arnhem,the netherlands","mevr l.  rokken",0
